name|version|usedBy|authors|license|package site
Microsoft.Orleans.OrleansCodeGenerator.Build|1.3.1|AccountsService, EmailService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Microsoft|https://github.com/dotnet/Orleans#license|https://github.com/dotnet/Orleans
Microsoft.Orleans.OrleansProviders|1.3.1|AccountsService, EmailService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Microsoft|https://github.com/dotnet/Orleans#license|https://github.com/dotnet/Orleans
Microsoft.Orleans.OrleansRuntime|1.3.1|AccountsService, Common, EmailService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Microsoft|https://github.com/dotnet/Orleans#license|https://github.com/dotnet/Orleans
Microsoft.Orleans.OrleansSqlUtils|1.3.1|AccountsService, EmailService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Microsoft|https://github.com/dotnet/Orleans#license|https://github.com/dotnet/Orleans
Microsoft.Orleans.OrleansZooKeeperUtils|1.3.1|AccountsService, EmailService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Microsoft|https://github.com/dotnet/Orleans#license|https://github.com/dotnet/Orleans
Moq|4.5.30|AccountsService, ImportFriendsService, NotificationsService, PasswordService, RBAService, ReportsService, RequestService, SchemaService, SocialService, TokenService, UserIdService, UserManagement, USMService|Daniel Cazzulino,  kzu|http://www.opensource.org/licenses/bsd-license.php|http://www.moqthis.com/
MySql.Data|6.9.9|AccountsService, EmailService, Gator, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, KeyManagementService, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Oracle|http://www.gnu.org/licenses/old-licenses/gpl-2.0.html|http://dev.mysql.com/downloads/
NETStandard.Library|1.6.1|AccountsService, Common, EmailService, Gator, ImageService, IndexCreationService, Infrastructure, JWTService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, SchemaService, ScreenSetsService, SessionService, SiteGroupService, SocialService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Microsoft|http://go.microsoft.com/fwlink/?LinkId=329770|https://dot.net/
Newtonsoft.Json|9.0.1|AccountsService, CertificateProvisionService, Common, EmailService, Gator, IDXService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, KeyEncryptionService, KeyManagementService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|James Newton-King|https://raw.github.com/JamesNK/Newtonsoft.Json/master/LICENSE.md|http://www.newtonsoft.com/json
Ninject|3.2.2|AccountsService, CertificateProvisionService, Common, EmailService, Gator, IDXService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, KeyEncryptionService, KeyManagementService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Ninject Project Contributors|https://github.com/ninject/ninject/raw/master/LICENSE.txt|http://www.ninject.org/
Ninject.Extensions.Conventions|3.2.0|AccountsService, CertificateProvisionService, EmailService, Gator, IDXService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, KeyEncryptionService, KeyManagementService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Ninject Project Contributors|https://github.com/ninject/ninject.extensions.conventions/raw/master/LICENSE.txt|http://www.ninject.org/
Ninject.Extensions.Factory|3.2.1|AccountsService, CertificateProvisionService, EmailService, Gator, IDXService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, KeyEncryptionService, KeyManagementService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Ninject Project Contributors|https://github.com/ninject/ninject.extensions.factory/raw/master/LICENSE.txt|http://www.ninject.org/
Nito.AsyncEx|4.0.1|AccountsService, CertificateProvisionService, Common, EmailService, Gator, IDXService, ImageService, IndexCreationService, Infrastructure, JWTService, KeyEncryptionService, KeyManagementService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SocialService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Stephen Cleary|https://github.com/StephenCleary/AsyncEx/blob/master/LICENSE|https://github.com/StephenCleary/AsyncEx
NSubstitute|2.0.3|AccountsService, CertificateProvisionService, Gator, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, microdot, OpenIdProviderService, OpenIdRPService, PartnersService, PolicyService, ReportsService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserManagement, USMService|Anthony Egerton, David Tchepak, Alexandr Nikitin|https://github.com/nsubstitute/NSubstitute/raw/master/LICENSE.txt|http://nsubstitute.github.com/
Nuclex.Cloning|1.0.0|AccountsService, CertificateProvisionService, Common, EmailService, Gator, IDXService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, KeyEncryptionService, KeyManagementService, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|junwei.lee|http://opensource.org/licenses/cpl1.0.php|https://github.com/junweilee/Nuclex.Cloning/
NUnit|3.7.1|AccountsService, CertificateProvisionService, Common, EmailService, Gator, IDXService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, KeyManagementService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Charlie Poole|http://nunit.org/nuget/nunit3-license.txt|http://nunit.org/
ParallelExtensionsExtras|1.2.0|AccountsService, CertificateProvisionService, EmailService, Gator, IDXService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, KeyEncryptionService, KeyManagementService, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Microsoft||http://code.msdn.microsoft.com/ParExtSamples/Release/ProjectReleases.aspx?ReleaseId=4179
PlainElastic.Net|1.1.55|AccountsService, CertificateProvisionService, Common, EmailService, Gator, IDXService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, KeyEncryptionService, KeyManagementService, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Alexander Yegorov|https://github.com/Yegoroff/PlainElastic.Net/blob/master/license.txt|https://github.com/Yegoroff/PlainElastic.Net
RabbitMQ.Client|4.1.3|AccountsService, CertificateProvisionService, EmailService, Gator, IDXService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, KeyEncryptionService, KeyManagementService, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|RabbitMQ.Client|http://www.rabbitmq.com/dotnet.html|http://www.rabbitmq.com/dotnet.html
Thrift|0.9.0|AccountsService, CertificateProvisionService, EmailService, Gator, IDXService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, KeyEncryptionService, KeyManagementService, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|The Apache Software Foundation|http://www.apache.org/licenses/LICENSE-2.0.html|http://thrift.apache.org/
